brand,total,5*,4*,3*,2*,1*,
Cif,5,1,1,2,0,1,
Cif,22,15,4,0,0,3,
Cif,4,2,1,1,0,0,
Cif,3,2,0,1,0,0,
Cif,16,11,3,0,1,1,
Cif,5,3,0,2,0,0,
Cif,17,8,5,3,0,1,
Cif,12,7,4,1,0,0,
Cif,3,3,0,0,0,0,
Cif,5,3,0,0,0,2,
Cif,4,3,0,0,0,1,
Cif,8,6,1,1,0,0,
Cif,76,45,16,7,2,6,
Cif,15,7,1,3,3,1,
Cif,13,6,3,2,0,2,
Cif,29,18,6,4,0,1,
Cif,12,7,3,1,0,1,
Cif,19,10,7,2,0,0,
Cif,57,30,14,8,1,4,
Cif,5,3,1,1,0,0,
Cif,76,44,17,10,4,1,
Comfort,65,33,19,9,1,3,
Comfort,19,12,1,4,1,1,
Comfort,6,4,0,1,0,1,
Comfort,31,15,6,7,1,2,
Comfort,31,18,3,5,1,4,
Comfort,7,2,1,3,1,0,
Comfort,8,5,1,1,0,1,
Comfort,33,16,6,5,2,4,
Comfort,3,0,1,0,0,2,
Rin,35,24,1,1,1,8,
Rin,35,24,1,1,1,8,
Rin,22,8,6,2,1,5,
Rin,7,6,1,0,0,0,
Rin,44,24,9,4,2,5,
Rin,18,8,2,3,3,2,
Rin,7,4,0,1,0,2,
Rin,21,9,2,3,2,5,
Rin,14,7,3,0,1,3,
Rin,6,3,1,0,0,2,
Rin,24,18,5,0,0,1,
Rin,5,2,0,0,1,2,
Surf Excel,50,33,9,1,1,6,
Surf Excel,50,31,4,5,2,8,
Surf Excel,66,34,15,10,0,7,
Surf Excel,7,6,0,0,0,1,
Surf Excel,38,18,8,5,2,5,
Surf Excel,116,72,15,12,4,13,
Surf Excel,30,14,9,3,2,2,
Surf Excel,17,9,5,3,0,0,
Surf Excel,64,36,8,6,3,11,
Surf Excel,24,17,1,3,1,2,
Surf Excel,5,3,1,1,0,0,
Surf Excel,14,8,5,1,0,0,
Surf Excel,12,7,3,0,0,2,
Surf Excel,17,6,2,1,3,5,
Surf Excel,4,1,1,0,1,1,
Surf Excel,7,3,2,0,2,0,
Surf Excel,8,5,1,0,0,2,
Surf Excel,17,6,2,1,3,5,
Surf Excel,45,19,6,3,3,14,
Surf Excel,45,19,6,3,3,14,
Surf Excel,26,14,3,3,1,5,
Surf Excel,4,0,1,1,0,2,
Surf Excel,5,2,1,0,0,2,
Surf Excel,17,8,2,1,0,6,
Surf Excel,10,6,0,1,0,3,
Surf Excel,27,13,1,2,3,8,
Surf Excel,20,7,1,2,2,8,
Vim,19,13,2,2,1,1,
Vim,8,5,2,1,0,0,
Vim,23,17,3,1,0,2,
Vim,7,5,0,1,0,1,
Vim,31,16,6,3,1,5,
Vim,24,14,5,1,0,4,
Vim,3,2,1,0,0,0,
Vim,7,6,1,0,0,0,
Vim,9,7,1,1,0,0,
Axe,401,151,52,46,28,124,
Axe,514,259,86,46,36,87,
Axe,297,133,48,29,18,69,
Axe,79,47,5,7,5,15,
Axe,29,16,5,0,0,8,
Axe,9,5,1,1,0,2,
Axe,45,17,8,5,5,10,
Axe,13,7,3,2,0,1,
Axe,107,45,10,16,9,27,
Axe,75,29,12,10,5,19,
Axe,48,30,15,3,0,0,
Axe,5,3,0,0,0,2,
Axe,16,11,2,2,0,1,
Axe,4,2,2,0,0,0,
Axe,35,18,8,6,0,3,
Axe,3,3,0,0,0,0,
Axe,11,4,0,1,2,4,
Axe,2072,1235,476,199,70,92,
Axe,466,236,129,57,13,31,
Axe,4,1,1,0,1,1,
Dove,7706,4238,1767,795,320,586,
Dove,42,25,10,5,1,1,
Dove,3949,2379,955,368,113,134,
Dove,4143,2455,986,416,128,158,
Dove,4067,2391,1003,426,110,137,
Dove,46,26,13,2,3,2,
Dove,39,26,6,2,2,3,
Dove,7926,5527,1621,496,112,170,
Dove,74,48,17,4,1,4,
Dove,4544,2615,1007,483,170,269,
Dove,9,5,2,1,0,1,
Dove,146,91,33,13,4,5,
Dove,1201,709,290,133,32,37,
Dove,732,442,163,74,22,31,
Dove,113,63,34,14,0,2,
Dove,52,28,11,8,2,3,
Dove,2820,1788,656,221,79,76,
Dove,3201,1874,693,340,120,174,
Dove,1025,583,243,110,44,45,
Lifebuoy,4,2,1,1,0,0,
Lifebuoy,8,6,0,0,1,1,
Lifebuoy,6,5,0,1,0,0,
Lifebuoy,5,2,0,2,0,1,
Lifebuoy,18,10,4,1,1,2,
Lifebuoy,22,15,3,3,1,0,
Lux,23,12,3,4,2,2,
Lux,814,505,191,73,20,25,
Lux,390,228,96,43,6,17,
Lux,287,161,70,38,4,14,
Lux,4,1,2,0,0,1,
Lux,6,1,0,2,0,3,
Lux,533,286,130,61,26,30,
Lux,4,1,0,0,1,2,
Lux,3,2,0,0,0,1,
Lux,3,2,0,0,1,0,
Lux,6,1,1,0,1,3,
Pepsodent,5,1,0,0,0,4,
Ponds,236,107,51,32,15,31,
Ponds,2043,1079,498,223,84,159,
Ponds,19,10,3,2,0,4,
Ponds,75,42,22,5,1,5,
Ponds,1885,1061,468,203,66,87,
Ponds,11,7,0,2,0,2,
Ponds,81,47,18,7,1,8,
Ponds,7,3,1,1,0,2,
Ponds,8,2,3,1,2,0,
Ponds,3,1,1,0,1,0,
Ponds,3,0,1,0,0,2,
Ponds,6916,3989,1649,711,238,329,
Ponds,2466,1527,553,224,59,103,
Sunsilk,4462,2696,959,463,151,193,
Sunsilk,2200,1254,466,274,89,117,
Sunsilk,1701,905,422,208,68,98,
Sunsilk,2793,1687,584,288,100,134,
Sunsilk,135,91,19,10,5,10,
Sunsilk,136,100,15,12,1,8,
Sunsilk,51,31,11,5,2,2,
Sunsilk,3,1,0,1,0,1,
Sunsilk,16,12,3,1,0,0,
Sunsilk,8,6,1,0,0,1,
Sunsilk,64,40,12,6,2,4,
Sunsilk,6,5,1,0,0,0,
Sunsilk,24,14,5,2,3,0,
Sunsilk,66,34,22,3,2,5,
Sunsilk,2028,1196,471,173,77,111,
TRESemme,9691,5381,2650,956,297,407,
TRESemme,251,130,50,26,15,30,
TRESemme,820,505,181,74,25,35,
TRESemme,1434,850,336,166,44,38,
TRESemme,1735,1003,431,153,58,90,
TRESemme,174,105,40,13,6,10,
TRESemme,594,337,143,67,20,27,
TRESemme,17,4,4,1,1,7,
TRESemme,3423,2057,828,335,95,108,
TRESemme,2499,1602,556,193,41,107,
TRESemme,2009,1138,516,224,56,75,
TRESemme,1125,649,272,111,44,49,
TRESemme,12,3,4,4,0,1,
TRESemme,9,7,1,0,1,0,
TRESemme,1928,1092,431,206,77,122,
TRESemme,478,266,97,38,20,57,
TRESemme,7,6,0,0,1,0,
TRESemme,38,17,12,3,1,5,
TRESemme,1590,930,411,158,31,60,
TRESemme,507,221,134,88,27,37,
