brand,total,5*,4*,3*,2*,1*,
Cif,5,1,1,2,0,1,
Cif,18,13,2,0,0,3,
Cif,3,2,0,1,0,0,
Cif,3,2,0,1,0,0,
Cif,14,10,2,0,1,1,
Cif,5,3,0,2,0,0,
Cif,15,7,4,3,0,1,
Cif,10,6,3,1,0,0,
Cif,3,3,0,0,0,0,
Cif,5,3,0,0,0,2,
Cif,4,3,0,0,0,1,
Cif,7,5,1,1,0,0,
Cif,70,43,14,5,3,5,
Cif,13,6,1,2,3,1,
Cif,13,6,3,2,0,2,
Cif,28,17,6,4,0,1,
Cif,12,7,3,1,0,1,
Cif,18,9,7,2,0,0,
Cif,54,29,13,7,1,4,
Cif,4,3,0,1,0,0,
Cif,73,43,16,9,4,1,
Comfort,64,33,18,9,1,3,
Comfort,5,5,0,0,0,0,
Comfort,4,3,0,0,0,1,
Comfort,30,14,6,7,1,2,
Comfort,31,18,3,5,1,4,
Comfort,7,2,1,3,1,0,
Comfort,6,3,1,1,0,1,
Comfort,33,16,6,4,3,4,
Comfort,3,0,1,0,0,2,
Rin,30,20,1,1,1,7,
Rin,30,20,1,1,1,7,
Rin,22,8,6,2,1,5,
Rin,6,5,1,0,0,0,
Rin,36,18,6,4,2,6,
Rin,17,8,1,3,3,2,
Rin,6,4,0,1,0,1,
Rin,19,7,2,3,2,5,
Rin,14,7,3,0,1,3,
Rin,6,3,1,0,0,2,
Rin,20,15,4,0,0,1,
Rin,5,2,0,0,1,2,
Surf Excel,42,28,7,1,1,5,
Surf Excel,39,25,4,4,2,4,
Surf Excel,65,33,15,10,0,7,
Surf Excel,3,3,0,0,0,0,
Surf Excel,35,16,7,5,2,5,
Surf Excel,111,68,14,12,4,13,
Surf Excel,29,14,9,3,1,2,
Surf Excel,16,9,4,3,0,0,
Surf Excel,50,29,7,4,1,9,
Surf Excel,23,16,1,3,1,2,
Surf Excel,4,2,1,1,0,0,
Surf Excel,12,7,4,1,0,0,
Surf Excel,10,6,2,0,0,2,
Surf Excel,15,5,2,1,3,4,
Surf Excel,4,1,1,0,1,1,
Surf Excel,6,2,2,0,2,0,
Surf Excel,7,4,1,0,0,2,
Surf Excel,15,5,2,1,3,4,
Surf Excel,38,16,3,2,3,14,
Surf Excel,38,16,3,2,3,14,
Surf Excel,16,9,1,2,0,4,
Surf Excel,4,0,1,1,0,2,
Surf Excel,5,2,1,0,0,2,
Surf Excel,15,6,2,1,0,6,
Surf Excel,10,6,0,1,0,3,
Surf Excel,26,13,1,2,3,7,
Surf Excel,20,7,1,2,2,8,
Vim,17,12,2,2,1,0,
Vim,5,2,2,1,0,0,
Vim,21,16,3,0,0,2,
Vim,5,3,0,1,0,1,
Vim,29,15,6,4,1,3,
Vim,24,14,5,1,0,4,
Vim,3,2,1,0,0,0,
Vim,6,5,1,0,0,0,
Vim,8,6,1,1,0,0,
Axe,402,152,52,46,28,124,
Axe,499,250,85,45,35,84,
Axe,291,129,47,29,18,68,
Axe,78,47,5,7,5,14,
Axe,27,15,5,0,0,7,
Axe,9,5,1,1,0,2,
Axe,45,18,8,5,5,9,
Axe,14,7,4,2,0,1,
Axe,107,45,10,16,9,27,
Axe,74,29,12,10,4,19,
Axe,47,28,16,3,0,0,
Axe,5,3,0,0,0,2,
Axe,16,11,2,2,0,1,
Axe,4,2,2,0,0,0,
Axe,32,17,7,6,0,2,
Axe,3,3,0,0,0,0,
Axe,11,4,0,1,2,4,
Axe,1882,1113,442,179,63,85,
Axe,417,211,117,52,12,25,
Axe,4,1,1,0,1,1,
Dove,7160,3915,1649,736,295,565,
Dove,14,9,3,2,0,0,
Dove,3711,2234,893,350,104,130,
Dove,3984,2351,953,397,126,157,
Dove,3921,2297,966,414,106,138,
Dove,30,19,4,2,3,2,
Dove,32,21,5,1,2,3,
Dove,7057,4916,1428,456,103,154,
Dove,47,27,14,3,1,2,
Dove,4387,2508,981,475,159,264,
Dove,6,4,1,0,0,1,
Dove,103,64,25,8,3,3,
Dove,1134,667,278,122,30,37,
Dove,693,418,154,68,22,31,
Dove,94,51,29,12,0,2,
Dove,52,28,11,8,2,3,
Dove,2659,1688,619,209,74,69,
Dove,3058,1793,654,326,114,171,
Dove,971,545,234,104,43,45,
Lifebuoy,3,1,1,1,0,0,
Lifebuoy,7,6,0,0,0,1,
Lifebuoy,4,4,0,0,0,0,
Lifebuoy,4,2,0,2,0,0,
Lifebuoy,17,9,4,1,1,2,
Lifebuoy,20,13,3,3,1,0,
Lux,21,11,3,3,2,2,
Lux,755,467,182,67,17,22,
Lux,365,215,90,41,6,13,
Lux,260,149,62,30,4,15,
Lux,3,1,1,0,0,1,
Lux,7,2,0,2,0,3,
Lux,453,252,109,50,20,22,
Lux,3,1,0,0,1,1,
Lux,3,2,0,0,0,1,
Lux,3,2,0,0,1,0,
Lux,5,1,1,0,1,2,
Pepsodent,5,1,0,0,0,4,
Ponds,232,105,51,31,14,31,
Ponds,2029,1066,495,222,84,162,
Ponds,16,7,3,2,0,4,
Ponds,68,40,19,4,0,5,
Ponds,1748,988,435,187,59,79,
Ponds,11,7,0,2,0,2,
Ponds,70,39,15,6,1,9,
Ponds,6,3,1,1,0,1,
Ponds,8,2,3,1,2,0,
Ponds,3,1,1,0,1,0,
Ponds,3,0,1,0,0,2,
Ponds,6510,3745,1550,673,225,317,
Ponds,2352,1456,523,218,58,97,
Sunsilk,4236,2562,902,444,142,186,
Sunsilk,2054,1164,436,257,82,115,
Sunsilk,1655,877,415,203,67,93,
Sunsilk,2687,1627,554,280,97,129,
Sunsilk,97,64,11,10,4,8,
Sunsilk,109,82,11,10,0,6,
Sunsilk,47,30,9,5,2,1,
Sunsilk,3,1,0,1,0,1,
Sunsilk,14,11,2,1,0,0,
Sunsilk,4,3,1,0,0,0,
Sunsilk,63,40,12,6,2,3,
Sunsilk,6,5,1,0,0,0,
Sunsilk,22,13,5,1,3,0,
Sunsilk,51,28,17,2,1,3,
Sunsilk,1896,1105,450,166,66,109,
TRESemme,9221,5098,2523,917,291,392,
TRESemme,244,126,49,25,15,29,
TRESemme,724,452,158,63,23,28,
TRESemme,1341,798,310,157,40,36,
TRESemme,1720,992,430,150,57,91,
TRESemme,167,102,37,13,6,9,
TRESemme,556,314,137,62,19,24,
TRESemme,8,1,4,1,1,1,
TRESemme,3120,1888,735,305,87,105,
TRESemme,2387,1530,531,187,36,103,
