brand,total,5*,4*,3*,2*,1*,
Ariel,18,12,1,2,1,2,
Ariel,3,3,0,0,0,0,
Ariel,5,3,2,0,0,0,
Ariel,5,3,2,0,0,0,
Ariel,8,5,3,0,0,0,
Ariel,5,4,0,1,0,0,
Ariel,10,8,1,0,1,0,
Ariel,5,5,0,0,0,0,
Ariel,3,3,0,0,0,0,
Ariel,23,11,4,3,0,5,
Ariel,3,3,0,0,0,0,
Ariel,20,12,4,1,0,3,
Gillette,3485,2074,823,352,86,150,
Gillette,10690,6796,2615,828,187,264,
Gillette,6233,3978,1482,491,117,165,
Gillette,20,14,5,1,0,0,
Gillette,344,200,67,42,16,19,
Gillette,6975,4276,1698,611,159,231,
Gillette,1655,1074,384,101,37,59,
Gillette,4087,2431,1039,359,94,164,
Gillette,2784,1804,627,201,60,92,
Gillette,3471,2090,789,336,101,155,
Gillette,7069,3993,1698,803,242,333,
Gillette,2357,1413,547,197,69,131,
Gillette,27,21,2,3,0,1,
Head & Shoulders,20826,12630,4586,1975,619,1016,
Head & Shoulders,2236,1326,527,226,78,79,
Head & Shoulders,11890,6829,2872,1173,428,588,
Head & Shoulders,9611,5569,2269,1019,302,452,
Head & Shoulders,7162,4067,1712,755,238,390,
Head & Shoulders,9611,5569,2269,1019,302,452,
Head & Shoulders,16158,9826,3615,1511,474,732,
Head & Shoulders,20827,12631,4586,1975,619,1016,
Head & Shoulders,6091,3575,1337,594,202,383,
Head & Shoulders,777,495,167,68,15,32,
Head & Shoulders,16158,9826,3615,1511,474,732,
Olay,5724,3124,1331,560,225,484,
Olay,5781,2966,1490,750,261,314,
Olay,3222,1802,766,326,106,222,
Olay,8032,4516,1906,880,297,433,
Olay,5166,2835,1208,524,224,375,
Olay,3611,1927,835,384,162,303,
Olay,1230,744,298,103,31,54,
Olay,30,18,6,3,0,3,
Olay,697,382,142,98,27,48,
Olay,1678,856,355,220,78,169,
Olay,11,5,3,3,0,0,
Olay,4,4,0,0,0,0,
Olay,609,367,150,44,24,24,
Olay,564,311,146,72,10,25,
Olay,1404,739,318,160,66,121,
Olay,472,265,111,44,19,33,
Olay,1008,572,240,104,44,48,
Olay,201,108,53,19,8,13,
Olay,1795,974,418,201,72,130,
Oral-B,2610,1425,611,315,92,167,
Oral-B,8,6,2,0,0,0,
Oral-B,1113,610,268,117,54,64,
Oral-B,520,292,121,57,18,32,
Oral-B,10,7,2,1,0,0,
Oral-B,4,3,0,1,0,0,
Oral-B,38,18,7,4,2,7,
Oral-B,4,2,2,0,0,0,
Oral-B,3,3,0,0,0,0,
Oral-B,8,4,2,2,0,0,
Pampers,15895,9796,3679,1330,439,651,
Pampers,34363,21035,7727,2916,967,1718,
Pampers,56518,34536,12426,4975,1702,2879,
Pampers,34316,20311,7759,3196,1133,1917,
Pampers,34316,20311,7759,3196,1133,1917,
Pampers,34316,20311,7759,3196,1133,1917,
Pampers,6055,4167,1222,356,104,206,
Pampers,30575,17714,7376,2892,980,1613,
Pampers,30575,17714,7376,2892,980,1613,
Pampers,30575,17714,7376,2892,980,1613,
Pampers,581,348,127,60,19,27,
Pampers,2843,1737,604,281,81,140,
Pampers,21967,13192,4765,2049,733,1228,
Pampers,21967,13192,4765,2049,733,1228,
Pampers,353,216,77,33,10,17,
Pampers,2690,1900,538,131,45,76,
Pampers,28713,18351,6240,2170,709,1243,
Pampers,2743,1811,592,179,43,118,
Pampers,359,220,94,30,6,9,
Pampers,4342,2874,941,285,88,154,
Pampers,8767,5224,1917,810,342,474,
Pampers,8767,5224,1917,810,342,474,
Pampers,6969,4669,1465,439,128,268,
Pampers,56518,34536,12426,4975,1702,2879,
Pampers,2353,1542,479,184,54,94,
Pampers,6673,4437,1433,399,128,276,
Pampers,4433,2937,954,300,89,153,
Pampers,4433,2937,954,300,89,153,
Pampers,6969,4669,1465,439,128,268,
Pampers,6969,4669,1465,439,128,268,
Pampers,95,67,23,4,0,1,
Pampers,1518,1016,308,92,34,68,
Pampers,2287,1596,461,119,34,77,
Pantene,10,4,3,1,1,1,
Pantene,4102,2605,900,348,109,140,
Pantene,30,21,6,1,2,0,
Pantene,4,3,0,1,0,0,
Pantene,8,5,3,0,0,0,
Pantene,4,3,0,0,1,0,
Pantene,25,17,4,3,1,0,
Pantene,1102,641,276,109,30,46,
Pantene,7,5,0,1,0,1,
Pantene,87,52,21,4,2,8,
Pantene,28,16,4,3,2,3,
Pantene,3,3,0,0,0,0,
Pantene,401,224,82,59,17,19,
Pantene,64,39,11,4,2,8,
Pantene,28,16,5,5,1,1,
Pantene,52,27,10,5,1,9,
Pantene,34,19,6,5,1,3,
Pantene,5,1,2,0,0,2,
Pantene,37,24,5,3,2,3,
Tide,28,17,2,5,0,4,
Tide,10,7,0,0,0,3,
Tide,23,12,4,2,2,3,
Tide,187,80,38,24,15,30,
Tide,29,14,4,1,0,10,
Tide,3,2,0,0,1,0,
Tide,5,1,1,1,0,2,
Vicks,33,11,14,4,0,4,
Vicks,2191,1368,475,194,76,78,
Whisper,7369,4739,1716,532,162,220,
Whisper,1622,1047,329,149,46,51,
Whisper,4955,3362,993,355,104,141,
