Company,Industry,User-Content
Elegant Marble,ceramics-granite,
Pokarna,ceramics-granite,
Asian Granito,ceramics-granite,
Nitco,ceramics-granite,
HSIL,ceramics-granite,
Orient Bell,ceramics-granite,
Inani Marbles,ceramics-granite,
Tata Chemicals,chemicals,
Pidilite Ind,chemicals,
UPL,chemicals,
Guj Alkali,chemicals,
Guj Flourochem,chemicals,
Deepak Nitrite,chemicals,
Navin Fluorine,chemicals,
Phillips Carbon,chemicals,
S H Kelkar,chemicals,
Excel,chemicals,
Himadri Special,chemicals,
Thirumalai Chem,chemicals,
Elantas Beck,chemicals,
Kanoria Chem,chemicals,
Chembond Chem,chemicals,
Standard Ind,chemicals,
Camlin Fine,chemicals,
Transpek,chemicals,
Paushak Ltd,chemicals,
IG Petro,chemicals,
Sree Rayalaseem,chemicals,
Vinati Organics,chemicals,
Narmada Gelatin,chemicals,
Balaji Amines,chemicals,
Aarti Ind,chemicals,
Panama Petro,chemicals,
Fineotex Chem,chemicals,
Laffans Petro,chemicals,
Mysore Petro,chemicals,
India Gelatine,chemicals,
Solar Ind,chemicals,
India Glycols,chemicals,
Shree Pushkar,chemicals,
Andhra Petro,chemicals,
Indo Borax,chemicals,
Insilco,chemicals,
Jayant Agro-Org,chemicals,
Cochin Minerals,chemicals,
Alufluoride,chemicals,
Avon Life,chemicals,
Guj Heavy Chem,chemicals,
Omkar Special,chemicals,
TGV Sraac,chemicals,
Yash Chemex,chemicals,
National Perox,chemicals,
Valiant Organic,chemicals,
Vishnu Chemical,chemicals,
Kesar Petro,chemicals,
Premier Explo,chemicals,
Indo Amines,chemicals,
Vikas Ecotech,chemicals,
Nitta Gelatin,chemicals,
Dharamsi Morarj,chemicals,
Dai-Ichi Karkar,chemicals,
Grauer and Weil,chemicals,
Jayshree Chem,chemicals,
Vinyl Chemicals,chemicals,
Padmanabh Ind,chemicals,
Alkyl Amines,chemicals,
Ganesh Benzo,chemicals,
Haryana Leather,chemicals,
Refnol Resin,chemicals,
Tanfac Ind,chemicals,
Ashok Alco-Chem,chemicals,
Ram Minerals,chemicals,
Neogen,chemicals,
Amines Plast,chemicals,
Black Rose Ind,chemicals,
Pondy Oxides,chemicals,
Lords Chloro,chemicals,
Lime Chemicals,chemicals,
Kavit Ind,chemicals,
Refex Ind,chemicals,
Chemfab Alkalis,chemicals,
Linde India,chemicals,
Fairchem Spec,chemicals,
Ishan Dyes,chemicals,
ITC,cigarettes,
Godfrey Phillip,cigarettes,
VST,cigarettes,
Kothari Product,cigarettes,
Kirloskar Pneum,compressors,
Elgi Equipments,compressors,
Revathi CP,compressors,
Redington,computers-hardware,
Smartlink Net,computers-hardware,
HCL Info,computers-hardware,
D-Link India,computers-hardware,
TVS Electronics,computers-hardware,
Accel,computers-hardware,
Eco Recycling,computers-hardware,
Compuage Info,computers-hardware,
Cerebra Int,computers-hardware,
TCS,computers-software,
Wipro,computers-software,
Infosys,computers-software,
Tech Mahindra,computers-software,
HCL Tech,computers-software,
MphasiS,computers-software,
L&T Infotech,computers-software,
63 Moons Tech,computers-software,
Persistent,computers-software,
NIIT Tech,computers-software,
Mindtree,computers-software,
Oracle Fin Serv,computers-software,
Cyient,computers-software,
Sasken Tech,computers-software,
Quick Heal Tech,computers-software,
Ramco System,computers-software,
Rolta,computers-software,
Hexaware Tech,computers-software,
Mastek,computers-software,
Mindteck,computers-software,
Saksoft,computers-software,
Zensar Tech,computers-software,
8K Miles Soft,computers-software,
Newgen Software,computers-software,
Intellect Desig,computers-software,
Bodhtree Cons,computers-software,
Scanpoint Geo,computers-software,
Jeevan Scient,computers-software,
Zee Learn,computers-software-training,
NIIT,computers-software-training,
Aptech,computers-software-training,
MT Educare,computers-software-training,
Tree House,computers-software-training,
Virtual Global,computers-software-training,
Firstsource Sol,computers-software-medium-small,
L&T Technology,computers-software-medium-small,
Subex,computers-software-medium-small,
Birlasoft,computers-software-medium-small,
eClerx Services,computers-software-medium-small,
Take Solutions,computers-software-medium-small,
Brightcom Group,computers-software-medium-small,
Majesco,computers-software-medium-small,
Nucleus Softwar,computers-software-medium-small,
FCS Software,computers-software-medium-small,
Datamatics Glob,computers-software-medium-small,
IZMO,computers-software-medium-small,
Genesys Int,computers-software-medium-small,
Allied Digital,computers-software-medium-small,
Sonata,computers-software-medium-small,
Tanla Solutions,computers-software-medium-small,
R Systems Intl,computers-software-medium-small,
aurionPro Sol,computers-software-medium-small,
ALLSEC Tech,computers-software-medium-small,
Trigyn Tech,computers-software-medium-small,
Accelya Kale,computers-software-medium-small,
GSS Infotech,computers-software-medium-small,
Kellton Tech,computers-software-medium-small,
Cigniti Tech,computers-software-medium-small,
Cybermate Info,computers-software-medium-small,
HOV Services,computers-software-medium-small,
Virinchi ,computers-software-medium-small,
RS Software,computers-software-medium-small,
Visesh Infotech,computers-software-medium-small,
Xchanging Sol,computers-software-medium-small,
Onward Tech,computers-software-medium-small,
ABM Knowledg,computers-software-medium-small,
Megasoft,computers-software-medium-small,
Vakrangee,computers-software-medium-small,
Intense Tech,computers-software-medium-small,
ASM Tech,computers-software-medium-small,
Cambridge Tech,computers-software-medium-small,
Avantel,computers-software-medium-small,
Danlaw Tech,computers-software-medium-small,
Zen Tech,computers-software-medium-small,
Compucom Soft,computers-software-medium-small,
Goldstone Tech,computers-software-medium-small,
Suri Capital,computers-software-medium-small,
Palred Tech,computers-software-medium-small,
WEP Solutions,computers-software-medium-small,
VEDAVAAG System,computers-software-medium-small,
Moschip Tech,computers-software-medium-small,
Saven Tech,computers-software-medium-small,
California Soft,computers-software-medium-small,
Response Info,computers-software-medium-small,
Zylog Systems,computers-software-medium-small,
COSYN,computers-software-medium-small,
Pan India Corp,computers-software-medium-small,
Indian Infotech,computers-software-medium-small,
Dynacons Sys,computers-software-medium-small,
Ram Informatics,computers-software-medium-small,
Unitech,construction-contracting-civil,
IRB InvIT,construction-contracting-civil,
IVRCL,construction-contracting-civil,
Madhucon Proj,construction-contracting-civil,
Supreme Infra,construction-contracting-civil,
